,lookup,throws
0,Dellin Betances-Yankees,R
1,Tyler Clippard-Yankees,R
2,Giovanny Gallegos-Yankees,R
3,Chad Green-Yankees,R
4,Jonathan Holder-Yankees,R
5,Tommy Layne-Yankees,L
6,Jordan Montgomery-Yankees,L
7,Michael Pineda-Yankees,R
8,CC Sabathia-Yankees,L
9,Luis Severino-Yankees,R
10,Chasen Shreve-Yankees,L
11,Masahiro Tanaka-Yankees,R
12,Adam Warren-Yankees,R
13,Chase Anderson-Brewers,R
14,Jacob Barnes-Brewers,R
15,Zach Davies-Brewers,R
16,Oliver Drake-Brewers,R
17,Neftali Feliz-Brewers,R
18,Matt Garza-Brewers,R
19,Junior Guerra-Brewers,R
20,Jared Hughes-Brewers,R
21,Corey Knebel-Brewers,R
22,Jimmy Nelson-Brewers,R
23,Wily Peralta-Brewers,R
24,Rob Scahill-Brewers,R
25,Carlos Torres-Brewers,R
26,Matt Belisle-Twins,R
27,Jose Berrios-Twins,R
28,Buddy Boshers-Twins,L
29,Craig Breslow-Twins,L
30,Tyler Duffey-Twins,R
31,Kyle Gibson-Twins,R
32,Brandon Kintzler-Twins,R
33,Adalberto Mejia-Twins,L
34,Taylor Rogers-Twins,L
35,Randy Rosario-Twins,L
36,Ervin Santana-Twins,R
37,Hector Santiago-Twins,L
38,Alex Wimmers-Twins,R
39,Kyle Barraclough-Marlins,R
40,Brian Ellington-Marlins,R
41,Jarlin Garcia-Marlins,L
42,Jeff Locke-Marlins,L
43,Dustin McGowan-Marlins,R
44,David Phelps-Marlins,R
45,AJ Ramos-Marlins,R
46,Dan Straily-Marlins,R
47,Jose Urena-Marlins,R
48,Edinson Volquez-Marlins,R
49,Nick Wittgren-Marlins,R
50,Vance Worley-Marlins,R
51,Brad Ziegler-Marlins,R
52,Bartolo Colon-Braves,R
53,R.A. Dickey-Braves,R
54,Mike Foltynewicz-Braves,R
55,Sam Freeman-Braves,L
56,Jaime Garcia-Braves,L
57,Luke Jackson-Braves,R
58,Jim Johnson-Braves,R
59,Ian Krol-Braves,L
60,Jason Motte-Braves,R
61,Eric O'Flaherty-Braves,L
62,Jose Ramirez-Braves,R
63,Julio Teheran-Braves,R
64,Arodys Vizcaino-Braves,R
65,Fernando Abad-Red Sox,L
66,Matt Barnes-Red Sox,R
67,Blaine Boyer-Red Sox,R
68,Heath Hembree-Red Sox,R
69,Joe Kelly-Red Sox,R
70,Craig Kimbrel-Red Sox,R
71,Drew Pomeranz-Red Sox,L
72,Rick Porcello-Red Sox,R
73,David Price-Red Sox,L
74,Chris Sale-Red Sox,L
75,Robby Scott-Red Sox,L
76,Brandon Workman-Red Sox,R
77,Michael Fulmer-Tigers,R
78,Shane Greene-Tigers,R
79,Blaine Hardy-Tigers,L
80,Arcenio Leon-Tigers,R
81,Daniel Norris-Tigers,L
82,Francisco Rodriguez-Tigers,R
83,Warwick Saupold-Tigers,R
84,Daniel Stumpf-Tigers,L
85,Justin Verlander-Tigers,R
86,Alex Wilson-Tigers,R
87,Justin Wilson-Tigers,L
88,Jordan Zimmermann-Tigers,R
89,Tim Adleman-Reds,R
90,Bronson Arroyo-Reds,R
91,Lisalverto Bonilla-Reds,R
92,Austin Brice-Reds,R
93,Jake Buchanan-Reds,R
