lookup,whip_Away,whip_Home
A.J. Cole-Nationals,1.67,
A.J. Griffin-Rangers,1.11,1.92
AJ Ramos-Marlins,2.14,0.89
Aaron Loup-Blue Jays,1.6,1.09
Aaron Nola-Phillies,1.45,1.42
Aaron Sanchez-Blue Jays,1.15,1.41
Adalberto Mejia-Twins,1.43,1.53
Adam Conley-Marlins,1.22,
Adam Liberatore-Dodgers,,0.43
Adam Morgan-Phillies,1.71,1.8
Adam Ottavino-Rockies,1.13,1.96
Adam Wainwright-Cardinals,1.62,1.4
Adam Warren-Yankees,0.64,1.08
Adam Wilk-Mets,,2.45
Adam Wilk-Twins,1.5,2.18
Addison Reed-Mets,1.46,0.94
Al Alburquerque-Royals,3.0,0.67
Alec Asher-Orioles,1.31,0.84
Alex Claudio-Rangers,1.73,0.56
Alex Cobb-Rays,1.59,1.15
Alex Colome-Rays,1.36,0.51
Alex Meyer-Angels,2.03,1.13
Alex Wilson-Tigers,0.83,1.17
Alex Wimmers-Twins,0.43,
Alex Wood-Dodgers,1.18,0.87
Amir Garrett-Reds,1.5,1.45
Andrew Bailey-Angels,0.0,0.0
Andrew Cashner-Rangers,1.3,1.55
Andrew Chafin-Diamondbacks,0.87,1.1
Andrew Miller-Indians,0.33,1.05
Andrew Triggs-Athletics,0.92,1.45
Anibal Sanchez-Tigers,2.52,1.59
Anthony Bass-Rangers,1.5,
Anthony Swarzak-White Sox,0.91,0.97
Antonio Senzatela-Rockies,1.25,1.1
Arcenio Leon-Tigers,0.0,0.5
Archie Bradley-Diamondbacks,1.4,0.64
Ariel Hernandez-Reds,0.0,
Ariel Miranda-Mariners,1.48,0.9
Arodys Vizcaino-Braves,1.14,0.68
Aroldis Chapman-Yankees,1.59,1.29
Asher Wojciechowski-Reds,1.62,1.14
Ashur Tolliver-Astros,,1.0
Austin Bibens-Dirkx-Rangers,0.97,1.59
Austin Brice-Reds,0.36,0.96
Austin Pruitt-Rays,1.88,1.84
Barrett Astin-Reds,1.5,2.7
Bartolo Colon-Braves,1.74,1.67
Ben Lively-Phillies,,1.0
Ben Taylor-Red Sox,2.36,1.67
Blaine Boyer-Red Sox,1.29,0.0
Blaine Hardy-Tigers,1.13,1.85
Blake Parker-Angels,1.5,0.68
Blake Snell-Rays,1.57,1.66
Blake Treinen-Nationals,2.57,1.42
Blake Wood-Reds,1.74,1.47
Bobby Wahl-Athletics,3.0,1.17
